Text,Latitude,Longitude,Altitude,Type
"Rangoon, Burma",16.795,96.16,0,city
"Mandalay, Burma",21.983056,96.084444,0,city
"Saigon, South Vietnam",10.775556,106.701944,0,city
"Kuala Lumpur, Malaysia",3.147778,101.695278,0,city
"Ipoh, Malaysia",4.597222,101.075,0,city
"George Town, Penang, Malaysia",5.4025,100.365,0,city
"Seremban, Malaysia",2.722222,101.941667,0,city
"Jakarta, Indonesia",-6.175,106.8275,0,city
"Manila, Philippines",14.5958,120.9772,0,city
"Bacolod City, Philippines",10.676458,122.950917,0,city
"Cebu City, Philippines",10.293,123.902,0,city
"Cotabato City, Philippines",7.22,124.25,0,city
"Kaohsiung, Taiwan",22.615,120.2975,0,city
"Kawasaki, Kanagawa, Japan",35.516667,139.7,0,city
"Ōmuta, Japan",33.033333,130.45,0,city
"Nobeoka, Japan",32.583333,131.666667,0,city
"Tokuyama, Yamaguchi, Japan",34.05,131.8,0,city
"Seoul, South Korea",37.566667,126.966667,0,city
"New Paltz, NY, USA",41.748056,-74.085,0,city
"Lee, MA, USA",42.304167,-73.248611,0,city
"Plattsburgh, NY, USA",44.695278,-73.458333,0,city
"Cortland, NY, USA",42.600556,-76.181389,0,city
"Jackson, MS, USA",32.298889,-90.184722,0,city
"Hempstead, NY, USA",40.704722,-73.617222,0,city
"Kent, OH, USA",41.15,-81.36,0,city
"Spring Valley, NY, USA",41.114444,-74.047778,0,city
"Potsdam, NY, USA",44.670833,-74.984167,0,city
"Royan, France",45.62,-1.03,0,city
"Nuremberg, Germany",49.453889,11.0775,0,city
"Bremen, Germany",53.083333,8.8,0,city
"Stuttgart-North, Germany",48.797222,9.176944,0,city
"Vicenza, Veneto, Italy",45.55,11.55,0,city
"Turin, Italy",45.079167,7.676111,0,city
"Genoa, Italy",44.411111,8.932778,0,city
"Florence, Italy",43.783333,11.25,0,city
"Hamburg, Germany",53.565278,10.001389,0,city
"Bochum, Germany",51.481944,7.215833,0,city
"Dusseldorf, Germany",51.233333,6.783333,0,city
"Wiesbaden, Germany",50.0825,8.24,0,city
"Leiria, Portugal",39.75,-8.8,0,city
"Lisbon, Portugal",38.725267,-9.150019,0,city
"Évora, Portugal",38.566667,-7.9,0,city
"Beja, Portugal",38.033333,-7.883333,0,city
"Faro, Portugal",37.016111,-7.935,0,city
"Hannover, Germany",52.366667,9.716667,0,city
"Stuttgart, Germany",48.783333,9.183333,0,city
"Mannheim, Germany",49.487778,8.466111,0,city
"Münster, Germany",51.9625,7.625556,0,city
"Leiden, Netherlands",52.16,4.49,0,city
"Nijmegen, Netherlands",51.8475,5.8625,0,city
"Rotterdam, Netherlands",51.916667,4.5,0,city
"Middelburg, Netherlands",51.5,3.616667,0,city
"Belgrade, Socialist Federal Republic of Yugoslavia",44.817778,20.456944,0,city
"Karlovci, Socialist Federal Republic of Yugoslavia",45.2,19.933333,0,city
"Opatija, Socialist Federal Republic of Yugoslavia",45.333333,14.3,0,city
"Pula, Socialist Federal Republic of Yugoslavia",44.870278,13.845556,0,city
"Banjaluka, Socialist Federal Republic of Yugoslavia",44.7725,17.1925,0,city
"Sarajevo, Socialist Federal Republic of Yugoslavia",43.856389,18.413056,0,city
"Niš, Socialist Federal Republic of Yugoslavia",43.32102,21.89567,0,city
"Skopje, Socialist Federal Republic of Yugoslavia",41.996111,21.431667,0,city
"Sorrento, Italy",40.626111,14.376111,0,city
"Osimo, Italy",43.483333,13.483333,0,city
"Beit Berl, Israel",32.199789,34.926039,0,city
"Ṣafad, Israel",32.965833,35.498333,0,city
"Ein Hashofet, Israel",32.595833,35.101111,0,city
"Venice, Italy",45.4375,12.335833,0,city
"Addis Ababa, Ethiopia",9.03,38.74,0,city
"Antananarivo, Malagasy Republic",-18.933333,47.516667,0,city
