City1,City2,Hexcode1,Hexcode2,Hexcode3,Hexcode4,Hexcode5,Hexcode6,Hexcode7,Hexcode8
"New York City, NY, USA","New York City, NY, USA",#48039f,#fdc827,#fdc827,#fdca26,#fdca26,#fdca26,#fdca26,#fdca26
"New York City, NY, USA","New York City, NY, USA",#48039f,#fdc827,#fdc827,#fdca26,#fdca26,#fdca26,#fdca26,#fdca26
"New York City, NY, USA","New York City, NY, USA",#5002a2,#fec029,#fdc527,#fdc827,#fdc827,#fdc827,#fdca26,#fdca26
"New York City, NY, USA","Lee, MA, USA",#5002a2,#fec029,#fdc527,#fdc827,#fdc827,#fdc827,#fdca26,#fdca26
"Lee, MA, USA","Lee, MA, USA",#5502a4,#febb2b,#fdc229,#fdc527,#fdc627,#fdc827,#fdc827,#fdca26
"Lee, MA, USA","Washington, D.C., USA",#5502a4,#febb2b,#fdc229,#fdc527,#fdc627,#fdc827,#fdc827,#fdca26
"Washington, D.C., USA","Washington, D.C., USA",#5601a4,#feba2c,#fdc229,#fdc527,#fdc627,#fdc627,#fdc827,#fdca26
"Washington, D.C., USA","New York City, NY, USA",#5601a4,#feba2c,#fdc229,#fdc527,#fdc627,#fdc627,#fdc827,#fdca26
"New York City, NY, USA","New York City, NY, USA",#5601a4,#feba2c,#fdc229,#fdc527,#fdc627,#fdc627,#fdc827,#fdca26
"New York City, NY, USA","New York City, NY, USA",#5601a4,#feba2c,#fdc229,#fdc527,#fdc627,#fdc627,#fdc827,#fdca26
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febe2a,#fdc328,#fdc527,#fdc627,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febe2a,#fdc328,#fdc527,#fdc627,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febe2a,#fdc328,#fdc527,#fdc627,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febe2a,#fdc328,#fdc527,#fdc627,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febd2a,#fdc328,#fdc527,#fdc527,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febd2a,#fdc328,#fdc527,#fdc527,#fdc827,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5b01a5,#fdb52e,#febd2a,#fdc328,#fdc527,#fdc527,#fdc627,#fdc827
"New York City, NY, USA","Brooklyn, NY, USA",#5b01a5,#fdb52e,#febd2a,#fdc328,#fdc527,#fdc527,#fdc627,#fdc827
"Brooklyn, NY, USA","Brooklyn, NY, USA",#5c01a6,#fdb42f,#febd2a,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"Brooklyn, NY, USA","Philadelphia, PA, USA",#5c01a6,#fdb42f,#febd2a,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"Philadelphia, PA, USA","Philadelphia, PA, USA",#5c01a6,#fdb42f,#febd2a,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"Philadelphia, PA, USA","New York City, NY, USA",#5c01a6,#fdb42f,#febd2a,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#fdb22f,#febb2b,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"New York City, NY, USA","New York City, NY, USA",#5e01a6,#fdb22f,#febb2b,#fdc229,#fdc328,#fdc527,#fdc627,#fdc827
"New York City, NY, USA","New York City, NY, USA",#6300a7,#fdae32,#feb82c,#febe2a,#fdc229,#fdc328,#fdc527,#fdc627
"New York City, NY, USA","Boston, MA, USA",#6300a7,#fdae32,#feb82c,#febe2a,#fdc229,#fdc328,#fdc527,#fdc627
"Boston, MA, USA","Boston, MA, USA",#6700a8,#fca934,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"Boston, MA, USA","New York City, NY, USA",#6700a8,#fca934,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"New York City, NY, USA","New York City, NY, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"New York City, NY, USA","New York City, NY, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"New York City, NY, USA","New York City, NY, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"New York City, NY, USA","Lee, MA, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"Lee, MA, USA","Lee, MA, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"Lee, MA, USA","New York City, NY, USA",#6900a8,#fca835,#fdb42f,#febb2b,#febe2a,#fec029,#fdc328,#fdc627
"New York City, NY, USA","New York City, NY, USA",#6c00a8,#fca537,#fdb130,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"New York City, NY, USA","Hempstead, NY, USA",#6c00a8,#fca537,#fdb130,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Hempstead, NY, USA","Hempstead, NY, USA",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Hempstead, NY, USA","Princeton, NJ, USA",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Princeton, NJ, USA","Princeton, NJ, USA",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Princeton, NJ, USA","Great Neck, NY, USA",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Great Neck, NY, USA","Great Neck, NY, USA",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Great Neck, NY, USA","Sydney, Australia",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Sydney, Australia","Sydney, Australia",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Sydney, Australia","Sydney, Australia",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Sydney, Australia","Sydney, Australia",#6e00a8,#fca338,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Sydney, Australia","Melbourne, Australia",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Melbourne, Australia","Melbourne, Australia",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Melbourne, Australia","Rangoon, Burma",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Rangoon, Burma","Rangoon, Burma",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febe2a,#fdc229,#fdc527
"Rangoon, Burma","Mandalay, Burma",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febd2a,#fdc229,#fdc527
"Mandalay, Burma","Mandalay, Burma",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febd2a,#fdc229,#fdc527
"Mandalay, Burma","Saigon, South Vietnam",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febd2a,#fdc229,#fdc527
"Saigon, South Vietnam","Saigon, South Vietnam",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febd2a,#fdc229,#fdc527
"Saigon, South Vietnam","Kuala Lumpur, Malaysia",#6f00a8,#fba238,#fdaf31,#feb82c,#febb2b,#febd2a,#fdc229,#fdc527
"Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Kuala Lumpur, Malaysia","Ipoh, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Ipoh, Malaysia","Ipoh, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Ipoh, Malaysia","George Town, Penang, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"George Town, Penang, Malaysia","George Town, Penang, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"George Town, Penang, Malaysia","Seremban, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Seremban, Malaysia","Seremban, Malaysia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Seremban, Malaysia","Jakarta, Indonesia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Jakarta, Indonesia","Jakarta, Indonesia",#6f00a8,#fba238,#fdaf31,#feb72d,#febb2b,#febd2a,#fdc229,#fdc527
"Jakarta, Indonesia","Manila, Philippines",#6f00a8,#fba238,#fdaf31,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Manila, Philippines","Manila, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Manila, Philippines","Bacolod City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Bacolod City, Philippines","Bacolod City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Bacolod City, Philippines","Cebu City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Cebu City, Philippines","Cebu City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Cebu City, Philippines","Cotabato City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Cotabato City, Philippines","Cotabato City, Philippines",#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Cotabato City, Philippines",Hong Kong,#6f00a8,#fba238,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
Hong Kong,Hong Kong,#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
Hong Kong,"Taipei, Taiwan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Taipei, Taiwan","Taipei, Taiwan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc527
"Taipei, Taiwan","Kaohsiung, Taiwan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kaohsiung, Taiwan","Kaohsiung, Taiwan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kaohsiung, Taiwan","Tokyo, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokyo, Japan","Tokyo, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokyo, Japan","Tokyo, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokyo, Japan","Tokyo, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokyo, Japan","Kawasaki, Kanagawa, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kawasaki, Kanagawa, Japan","Kawasaki, Kanagawa, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kawasaki, Kanagawa, Japan","Osaka, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Osaka, Japan","Osaka, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Osaka, Japan","Kyoto, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kyoto, Japan","Kyoto, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Kyoto, Japan","Nagoya, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Nagoya, Japan","Nagoya, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Nagoya, Japan","Ōmuta, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Ōmuta, Japan","Ōmuta, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Ōmuta, Japan","Nobeoka, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Nobeoka, Japan","Nobeoka, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Nobeoka, Japan","Tokuyama, Yamaguchi, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokuyama, Yamaguchi, Japan","Tokuyama, Yamaguchi, Japan",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Tokuyama, Yamaguchi, Japan","Seoul, South Korea",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Seoul, South Korea","Seoul, South Korea",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"Seoul, South Korea","New London, CT, USA",#7100a8,#fba139,#fdae32,#feb72d,#feba2c,#febd2a,#fdc229,#fdc328
"New London, CT, USA","New London, CT, USA",#7201a8,#fb9f3a,#fdac33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New London, CT, USA","New York City, NY, USA",#7201a8,#fb9f3a,#fdac33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New York City, NY, USA","New York City, NY, USA",#7401a8,#fa9e3b,#fdab33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New York City, NY, USA","New York City, NY, USA",#7401a8,#fa9e3b,#fdab33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New York City, NY, USA","New York City, NY, USA",#7401a8,#fa9e3b,#fdab33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New York City, NY, USA","New York City, NY, USA",#7401a8,#fa9e3b,#fdab33,#fdb52e,#feb82c,#febb2b,#fec029,#fdc328
"New York City, NY, USA","New York City, NY, USA",#7701a8,#fa9b3d,#fca934,#fdb42f,#feb72d,#feba2c,#febe2a,#fdc229
"New York City, NY, USA","Stamford, CT, USA",#7701a8,#fa9b3d,#fca934,#fdb42f,#feb72d,#feba2c,#febe2a,#fdc229
"Stamford, CT, USA","Stamford, CT, USA",#7801a8,#f99a3e,#fca835,#fdb22f,#fdb52e,#feb82c,#febe2a,#fdc229
"Stamford, CT, USA","Stamford, CT, USA",#7801a8,#f99a3e,#fca835,#fdb22f,#fdb52e,#feb82c,#febe2a,#fdc229
"Stamford, CT, USA","Stamford, CT, USA",#7801a8,#f99a3e,#fca835,#fdb22f,#fdb52e,#feb82c,#febe2a,#fdc229
"Stamford, CT, USA","New York City, NY, USA",#7801a8,#f99a3e,#fca835,#fdb22f,#fdb52e,#feb82c,#febe2a,#fdc229
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"New York City, NY, USA","New London, CT, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"New London, CT, USA","New London, CT, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"New London, CT, USA","Madison, NJ, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb52e,#feb82c,#febd2a,#fdc229
"Madison, NJ, USA","Madison, NJ, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"Madison, NJ, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","Stamford, CT, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"Stamford, CT, USA","Stamford, CT, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"Stamford, CT, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7a02a8,#f9983e,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7b02a8,#f9973f,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7b02a8,#f9973f,#fca636,#fdb130,#fdb42f,#feb82c,#febd2a,#fec029
"New York City, NY, USA","New York City, NY, USA",#7b02a8,#f9973f,#fca537,#fdb130,#fdb42f,#feb72d,#febd2a,#fec029
"New York City, NY, USA","Fairfield, IA, USA",#7b02a8,#f9973f,#fca537,#fdb130,#fdb42f,#feb72d,#febd2a,#fec029
"Fairfield, IA, USA","Fairfield, IA, USA",#7b02a8,#f9973f,#fca537,#fdaf31,#fdb42f,#feb72d,#febd2a,#fec029
