Place,Venues,Repertory
,,Been Here and Gone; Revelations; The Beloved; Roots of the Blues; Letter to a Lady
"Aarhus, Denmark",Musikhuset; Aarhus Teater,Gazelle; The Still Point; The Stack-Up; Night Creature; Anjour: Ruminations on Dudley; Cry; Love Songs; Fever Swamp; Treading; Fontessa and Friends; Night Shade; The Time Before the Time After (After the Time Before); Isba; Pigs and Fishes; Myth; Suite Otis; Sunrise... Sunset; Streams; Revelations; Divining; Toccata
"Abidjan, Côte d'Ivoire",Centre Culturel de Treichville; Hôtel Ivoire,Lament; Congo Tango Palace; Revelations; Metallics; Blues Suite
"Accra, Ghana",Art Centre,Lament; Congo Tango Palace; Revelations; Metallics; Blues Suite
"Addis Ababa, Ethiopia",Haile Selassie I Theatre,The Prodigal Prince; Reflections in D; Revelations; Blues Suite; Toccata
"Adelaide, Australia",Festival Theatre,Suite Otis; Memoria; Speeds; The Stack-Up; Night Creature; Revelations; Treading; Concerto in F; Divining; Cry
"Akron, OH, USA","Edwin J. Thomas Performing Arts Hall, University of Akron",The Lark Ascending; The Road of the Phoebe Snow; Carmina Burana; Streams; Revelations; Journey; How Long Have It Been; Love Songs
"Albany, NY, USA",Albany Mall,Revelations
"Albuquerque, NM, USA","Popejoy Hall, University of New Mexico",Streams; Night Creature; Revelations; Hidden Rites; After Eden; Kinetic Molpai; Cry; Love Songs
"Algiers, Algeria",Théâtre National Algérien,The Prodigal Prince; Icarus; Streams; Revelations; Journey; Dance for Six; Blues Suite; Toccata
"Allendale, MI, USA","Armstrong Theater, Grand Valley State",Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Altoona, PA, USA",Roosevelt Junior High School Auditorium,Congo Tango Palace; Reflections in D; Revelations; Blues Suite; Toccata
