Latitude,Longitude,City,Altitude
16.795,96.16,"Rangoon, Burma",1514
21.983056,96.084444,"Mandalay, Burma",1517
10.775556,106.701944,"Saigon, South Vietnam",1526
3.147778,101.695278,"Kuala Lumpur, Malaysia",1531
4.597222,101.075,"Ipoh, Malaysia",1533
5.4025,100.365,"George Town, Penang, Malaysia",1536
2.722222,101.941667,"Seremban, Malaysia",1538
-6.175,106.8275,"Jakarta, Indonesia",1544
14.5958,120.9772,"Manila, Philippines",1548
10.676458,122.950917,"Bacolod City, Philippines",1550
10.293,123.902,"Cebu City, Philippines",1552
7.22,124.25,"Cotabato City, Philippines",1554
22.615,120.2975,"Kaohsiung, Taiwan",1566
35.516667,139.7,"Kawasaki, Kanagawa, Japan",1574
33.033333,130.45,"Ōmuta, Japan",1582
32.583333,131.666667,"Nobeoka, Japan",1584
34.05,131.8,"Tokuyama, Yamaguchi, Japan",1586
37.566667,126.966667,"Seoul, South Korea",1591
41.748056,-74.085,"New Paltz, NY, USA",2031
42.304167,-73.248611,"Lee, MA, USA",2047
44.695278,-73.458333,"Plattsburgh, NY, USA",2096
42.600556,-76.181389,"Cortland, NY, USA",2100
32.298889,-90.184722,"Jackson, MS, USA",2136
40.704722,-73.617222,"Hempstead, NY, USA",2150
41.15,-81.36,"Kent, OH, USA",2227
41.114444,-74.047778,"Spring Valley, NY, USA",2243
44.670833,-74.984167,"Potsdam, NY, USA",2260
45.62,-1.03,"Royan, France",2659
49.453889,11.0775,"Nuremberg, Germany",2680
53.083333,8.8,"Bremen, Germany",2684
48.797222,9.176944,"Stuttgart-North, Germany",2686
45.55,11.55,"Vicenza, Veneto, Italy",2715
45.079167,7.676111,"Turin, Italy",2718
44.411111,8.932778,"Genoa, Italy",2720
43.783333,11.25,"Florence, Italy",2727
53.565278,10.001389,"Hamburg, Germany",2985
51.481944,7.215833,"Bochum, Germany",2988
51.233333,6.783333,"Dusseldorf, Germany",2991
50.0825,8.24,"Wiesbaden, Germany",2993
39.75,-8.8,"Leiria, Portugal",3431
38.725267,-9.150019,"Lisbon, Portugal",3432
38.566667,-7.9,"Évora, Portugal",3433
38.033333,-7.883333,"Beja, Portugal",3434
37.016111,-7.935,"Faro, Portugal",3435
52.366667,9.716667,"Hannover, Germany",3438
48.783333,9.183333,"Stuttgart, Germany",3439
49.487778,8.466111,"Mannheim, Germany",3440
51.9625,7.625556,"Münster, Germany",3441
52.16,4.49,"Leiden, Netherlands",3466
